COD. INTERNO;COD. EAN;DESC;SEÇÃO;VENDAS;LOJA;CURVA
17345;None;PAO CARIOCA KG;PANIFICADORA BALCAO;10633.0;10;A
16695;None;BANANA PRATA KG;FRUTAS-VERDURAS;9641.0;10;A
16706;None;CEBOLA PERA BRANCA KG;FRUTAS-VERDURAS;5145.0;10;A
16777;None;TOMATE KG;FRUTAS-VERDURAS;4856.0;10;A
16791;None;LARANJA PERA KG;FRUTAS-VERDURAS;3563.0;10;A
16690;7898218050015;COENTRO COMUM UND;FRUTAS-VERDURAS;3524.0;10;A
16694;None;BATATA INGLESA KG;FRUTAS-VERDURAS;3447.0;10;A
16794;None;CENOURA KG;FRUTAS-VERDURAS;3237.0;10;A
8;None;MACA NACIONAL KG;OVOS;3023.0;10;A
8;None;MACA NACIONAL KG;FRUTAS-VERDURAS;3023.0;10;A
121477;None;QJO MUSSAR FRAMILK KG EMB;LATICINIOS;2981.0;10;A
16897;None;PIMENTAO VERDE KG;FRUTAS-VERDURAS;2896.0;10;A
131896;7898928536175;DOCE MORENINHA UND 33,3G;DOCES;2827.0;10;A
16871;None;MAMAO COMUM KG;FRUTAS-VERDURAS;2814.0;10;A
16687;7898218050022;CEBOLINHA COMUM UND;FRUTAS-VERDURAS;2774.0;10;A
23524;None;ALHO BRANCO KG;FRUTAS-VERDURAS;2355.0;10;A
3625;7896466621353;LEITE UHT LIRIO INT 1L;LEITES;2129.0;10;A
3241;7896051114024;CR LEITE ITAMBE TP 200G;MATINAIS;2029.0;10;A
67674;7898403782387;LEITE UHT BETANIA C/TP INT 1L;LEITES;2019.0;10;A
123266;7891000359822;BEB LAC NESCAU PRONT UHT 180ML CHOC;MATINAIS;1963.0;10;A
121479;None;QJO COALHO FRAMILK KG EMB;LATICINIOS;1813.0;10;A
6407;7894900027013;REFRIG COCA COLA ORIG 2L;BEBIDAS NAO ALCOOLICAS;1792.0;10;A
16796;None;ABACATE KG;FRUTAS-VERDURAS;1785.0;10;A
16956;None;LIMAO TAITI KG;FRUTAS-VERDURAS;1781.0;10;A
2598;7898994678014;ACUCAR OLHO DAGUA CRISTAL 1KG;CEREAIS-FARINHAS;1750.0;10;A
16798;None;QJO COALHO VS EMB KG;LATICINIOS;1722.0;10;A
34265;None;SELF SERVICE KG;COMIDAS PRONTAS;1635.0;10;A
16460;None;QJO MUSSARELA VS EMB KG;LATICINIOS;1617.0;10;A
16790;None;MANGA TOMMY KG;FRUTAS-VERDURAS;1572.0;10;A
16811;None;GOIABA VERMELHA KG;FRUTAS-VERDURAS;1563.0;10;A
